epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.9347,2.55291,10.0297,0.70612,2.78805,2.33422,0.30142,0.55263,0.27988,0.06703,0,0,0,0,2.79793,10.3017,0.67939,3.93508,4.84057,0.00064,0.00064,0.00064
2,36.6392,1.44437,8.179,0.73384,0.9739,1.47403,0.25748,0.45635,0.21914,0.04294,0,0,0,0,3.13358,9.75113,0.6848,5.20316,4.56442,0.00129804,0.00129804,0.00129804
3,39.5341,1.35422,7.49892,0.73854,0.88351,1.4,0.66851,0.65789,0.53693,0.15496,0,0,0,0,2.6912,8.52977,0.76884,3.27145,4.08359,0.00194729,0.00194729,0.00194729
4,42.4831,1.26131,7.10696,0.72027,0.83553,1.35201,0.44931,0.60526,0.35258,0.13827,0,0,0,0,2.50603,8.66916,0.71571,3.51848,4.12933,0.0019604,0.0019604,0.0019604
5,45.3302,1.18129,6.38581,0.66821,0.7913,1.30524,0.54486,0.63009,0.40297,0.15881,0,0,0,0,2.45861,8.61607,0.63519,2.4745,4.00593,0.0019472,0.0019472,0.0019472
6,48.2966,1.1321,5.77606,0.61699,0.72498,1.27277,0.56861,0.57895,0.41146,0.11805,0.08367,0.05263,0.0055,0.00055,3.08085,7.8529,0.54763,2.1358,4.95701,0.001934,0.001934,0.001934
7,51.2348,1.11571,5.498,0.58395,0.6897,1.21283,0.65361,0.65789,0.49574,0.18958,0,0,0,0,2.4259,8.03068,0.56223,2.46035,3.33334,0.0019208,0.0019208,0.0019208
8,54.093,1.13042,5.28473,0.54168,0.65673,1.20421,0.65343,0.65789,0.46521,0.15758,0,0,0,0,2.69132,7.9925,0.52001,1.95187,3.31313,0.0019076,0.0019076,0.0019076
9,56.9164,1.0439,5.05722,0.53176,0.64041,1.16901,0.55088,0.55263,0.3804,0.18204,0,0,0,0,2.50488,8.05151,0.46565,2.60461,3.18947,0.0018944,0.0018944,0.0018944
10,59.7979,1.02667,4.85081,0.5222,0.60567,1.1602,0.57539,0.55263,0.45654,0.2081,0,0,0,0,2.44885,7.36095,0.45528,1.52488,3.24225,0.0018812,0.0018812,0.0018812
11,62.726,0.9327,4.41507,0.49133,0.55755,1.12807,0.63006,0.63158,0.47167,0.18267,0.18379,0.18421,0.04863,0.00709,2.60744,6.96108,0.51461,1.52571,3.54811,0.001868,0.001868,0.001868
12,65.5842,0.96156,4.06892,0.49876,0.56128,1.15844,0.63102,0.63158,0.46262,0.19423,0.28916,0.28947,0.11042,0.01292,2.47549,7.09116,0.55303,1.6386,3.57076,0.0018548,0.0018548,0.0018548
13,68.503,0.92284,3.87906,0.49607,0.54278,1.1086,0.60459,0.60526,0.42724,0.19669,0.41996,0.42105,0.22093,0.02535,2.54341,6.66202,0.47933,1.66069,3.72499,0.0018416,0.0018416,0.0018416
14,71.5432,0.91439,3.74352,0.45937,0.52691,1.09118,0.65503,0.65789,0.58646,0.22668,0.62883,0.63158,0.53421,0.11816,2.414,6.37702,0.45069,1.47131,3.29773,0.0018284,0.0018284,0.0018284
15,74.4891,0.88935,3.51285,0.4628,0.5421,1.1002,0.60466,0.60526,0.43964,0.16481,0.44674,0.44737,0.21921,0.03577,2.48366,6.42786,0.45317,1.49166,3.57691,0.0018152,0.0018152,0.0018152
16,77.327,0.88516,3.33832,0.44489,0.5464,1.10444,0.60213,0.60526,0.43003,0.19224,0.54977,0.55263,0.3343,0.05906,2.3898,6.37641,0.4168,1.46869,3.42322,0.001802,0.001802,0.001802
17,80.2193,0.84233,3.30502,0.45447,0.52578,1.08189,0.65453,0.65789,0.46585,0.15787,0.39359,0.39474,0.17015,0.02688,2.54742,6.25461,0.42606,1.63692,3.71397,0.0017888,0.0017888,0.0017888
18,83.0873,0.84925,2.98528,0.43023,0.49902,1.07251,0.60696,0.65789,0.47272,0.18018,0.26215,0.26316,0.11129,0.01341,2.44223,6.01388,0.45846,1.61202,3.46626,0.0017756,0.0017756,0.0017756
19,85.9721,0.83649,2.57571,0.42685,0.4824,1.08679,0.65197,0.65789,0.46901,0.16515,0.67819,0.68421,0.47217,0.09022,2.51461,5.781,0.43426,1.71855,3.17546,0.0017624,0.0017624,0.0017624
20,89.0035,0.89015,2.67858,0.42585,0.50659,1.08204,0.61919,0.63158,0.41596,0.16497,0.1414,0.15789,0.03696,0.00493,2.34272,6.46183,0.40473,1.80791,2.92804,0.0017492,0.0017492,0.0017492
21,92.384,0.77699,2.66613,0.39349,0.47706,1.04056,0.65616,0.65789,0.48259,0.15297,0.62991,0.63158,0.40105,0.07731,2.51725,5.86211,0.38316,1.37197,2.80623,0.001736,0.001736,0.001736
22,95.3044,0.87515,2.64358,0.39668,0.50934,1.07528,0.65664,0.65789,0.47334,0.14737,0.52529,0.52632,0.30673,0.05704,2.67687,5.97435,0.41176,1.28516,3.14177,0.0017228,0.0017228,0.0017228
23,98.1944,0.81755,2.47034,0.391,0.49622,1.03931,0.60405,0.60526,0.4095,0.1593,0.63031,0.63158,0.46753,0.11226,2.53988,5.79264,0.38865,1.31289,3.26994,0.0017096,0.0017096,0.0017096
24,101.132,0.85564,2.52369,0.39473,0.50138,1.05167,0.65699,0.65789,0.45934,0.14989,0.68327,0.68421,0.51454,0.10161,2.57883,5.96341,0.38927,1.47064,3.40951,0.0016964,0.0016964,0.0016964
25,104.193,0.82461,2.17107,0.3673,0.47478,1.03421,0.65615,0.65789,0.52431,0.18171,0.60366,0.60526,0.40305,0.0893,2.49073,5.85546,0.47771,1.67617,3.09382,0.0016832,0.0016832,0.0016832
26,107.141,0.80935,2.00881,0.35586,0.47338,1.05531,0.65591,0.65789,0.5419,0.20001,0.65591,0.65789,0.49012,0.12298,2.11967,6.00468,0.32511,2.03308,2.72204,0.00167,0.00167,0.00167
27,110.089,0.80608,2.0086,0.38154,0.47353,1.04058,0.65518,0.65789,0.51377,0.17216,0.65518,0.65789,0.51377,0.11624,2.48815,5.73012,0.3087,1.57509,3.20266,0.0016568,0.0016568,0.0016568
28,113.048,0.74045,1.7972,0.3597,0.45108,1.03696,0.62983,0.63158,0.51759,0.20707,0.65607,0.65789,0.5445,0.14792,2.35882,5.4632,0.29641,1.33642,3.07402,0.0016436,0.0016436,0.0016436
29,116.011,0.69755,1.87281,0.35097,0.41609,1.02009,0.6335,0.63158,0.57584,0.21231,0.76049,0.76316,0.717,0.18924,2.37289,5.32226,0.43863,1.44491,3.20252,0.0016304,0.0016304,0.0016304
30,119.027,0.73256,1.77412,0.34732,0.43343,1.01537,0.63155,0.63158,0.52182,0.21754,0.70928,0.71053,0.59114,0.16682,2.28681,5.24589,0.41431,1.54688,2.94918,0.0016172,0.0016172,0.0016172
31,122.007,0.74424,1.7246,0.33884,0.44739,1.02712,0.62469,0.60526,0.4439,0.17477,0.75988,0.73684,0.6872,0.21202,2.39497,4.96318,0.34438,1.5535,3.01877,0.001604,0.001604,0.001604
